# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1157309	1158472	-	QPZ80499.1			ABC transporter ATP-binding protein			MPAO1_05555	1164	387	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1158485	1159147	-							MPAO1_05560	663		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1158485	1159147	-	QPZ80500.1			ABC transporter permease			MPAO1_05560	663	220	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1159147	1160082	-							MPAO1_05565	936		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1159147	1160082	-	QPZ80501.1			ABC transporter			MPAO1_05565	936	311	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1160082	1160804	-							MPAO1_05570	723		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1160082	1160804	-	QPZ80502.1			ABC transporter permease			MPAO1_05570	723	240	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1160948	1161172	-							MPAO1_05575	225		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1160948	1161172	-	QPZ80503.1			hypothetical protein			MPAO1_05575	225	74	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1161246	1162520	+							MPAO1_05580	1275		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1161246	1162520	+	QPZ80504.1			Na+/H+ antiporter NhaP			MPAO1_05580	1275	424	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1162579	1162824	-							MPAO1_05585	246		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1162579	1162824	-	QPZ80505.1			hypothetical protein			MPAO1_05585	246	81	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1162854	1163753	-							MPAO1_05590	900		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1162854	1163753	-	QPZ80506.1			TIGR01459 family HAD-type hydrolase			MPAO1_05590	900	299	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1163858	1164514	-							MPAO1_05595	657		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1163858	1164514	-	QPZ80507.1			protein-tyrosine-phosphatase			MPAO1_05595	657	218	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1164609	1164995	-							MPAO1_05600	387		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1164609	1164995	-	QPZ80508.1			hypothetical protein			MPAO1_05600	387	128	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1165016	1165846	-							MPAO1_05605	831		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1165016	1165846	-	QPZ80509.1			SDR family oxidoreductase			MPAO1_05605	831	276	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1165933	1166682	-							MPAO1_05610	750		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1165933	1166682	-	QPZ80510.1			class I SAM-dependent methyltransferase			MPAO1_05610	750	249	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1166698	1167162	-							MPAO1_05615	465		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1166698	1167162	-	QPZ80511.1			multidrug transporter			MPAO1_05615	465	154	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1167334	1167729	-							MPAO1_05620	396		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1167334	1167729	-	QPZ80512.1			zinc-binding protein			MPAO1_05620	396	131	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1167814	1168473	-					narL		MPAO1_05625	660		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1167814	1168473	-	QPZ80513.1			two-component system response regulator NarL	narL		MPAO1_05625	660	219	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1168470	1170338	-							MPAO1_05630	1869		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1168470	1170338	-	QPZ80514.1			nitrate/nitrite sensor histidine kinase			MPAO1_05630	1869	622	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1170513	1171808	+							MPAO1_05635	1296		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1170513	1171808	+	QPZ80515.1			NarK/NasA family nitrate transporter			MPAO1_05635	1296	431	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1171820	1173226	+							MPAO1_05640	1407		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1171820	1173226	+	QPZ80516.1			NarK family nitrate/nitrite MFS transporter			MPAO1_05640	1407	468	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1173302	1177087	+							MPAO1_05645	3786		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1173302	1177087	+	QPZ80517.1			nitrate reductase subunit alpha			MPAO1_05645	3786	1261	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1177099	1178640	+					narH		MPAO1_05650	1542		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1177099	1178640	+	QPZ80518.1			nitrate reductase subunit beta	narH		MPAO1_05650	1542	513	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1178646	1179386	+					narJ		MPAO1_05655	741		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1178646	1179386	+	QPZ80519.1			nitrate reductase molybdenum cofactor assembly chaperone	narJ		MPAO1_05655	741	246	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1179389	1180072	+					narI		MPAO1_05660	684		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1179389	1180072	+	QPZ80520.1			respiratory nitrate reductase subunit gamma	narI		MPAO1_05660	684	227	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1180127	1180945	+							MPAO1_05665	819		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1180127	1180945	+	QPZ80521.1			peptidyl-prolyl cis-trans isomerase			MPAO1_05665	819	272	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1181002	1181991	+					moaA		MPAO1_05670	990		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1181002	1181991	+	QPZ80522.1			GTP 3',8-cyclase MoaA	moaA		MPAO1_05670	990	329	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1182312	1182695	-							MPAO1_05675	384		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1182312	1182695	-	QPZ80523.1			hypothetical protein			MPAO1_05675	384	127	
gene	pseudogene	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1182886	1184471	-							MPAO1_05680	1586		pseudo
CDS	without_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1182886	1184471	-				transposase			MPAO1_05680	1586		pseudo
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1184452	1185027	-							MPAO1_05685	576		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1184452	1185027	-	QPZ80524.1			recombinase family protein			MPAO1_05685	576	191	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1185972	1187651	+							MPAO1_05690	1680		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1185972	1187651	+	QPZ85086.1			pyocin protein			MPAO1_05690	1680	559	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1187651	1187989	+							MPAO1_05695	339		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1187651	1187989	+	QPZ80525.1			hypothetical protein			MPAO1_05695	339	112	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1188953	1189744	+							MPAO1_05700	792		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1188953	1189744	+	QPZ80526.1			ABC transporter substrate-binding protein			MPAO1_05700	792	263	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1189768	1190400	-							MPAO1_05705	633		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1189768	1190400	-	QPZ80527.1			transcriptional regulator			MPAO1_05705	633	210	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1190463	1191590	-							MPAO1_05710	1128		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1190463	1191590	-	QPZ80528.1			FAD-dependent catabolic D-arginine dehydrogenase DauA			MPAO1_05710	1128	375	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1191613	1192560	-							MPAO1_05715	948		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1191613	1192560	-	QPZ80529.1			NAD(P)H-dependent anabolic L-arginine dehydrogenase DauB			MPAO1_05715	948	315	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1192721	1194292	-					rhlB		MPAO1_05720	1572		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1192721	1194292	-	QPZ80530.1			ATP-dependent RNA helicase RhlB	rhlB		MPAO1_05720	1572	523	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1194261	1194506	-							MPAO1_05725	246		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1194261	1194506	-	QPZ85087.1			hypothetical protein			MPAO1_05725	246	81	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1194528	1196426	+							MPAO1_05730	1899		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1194528	1196426	+	QPZ80531.1			acyl-CoA synthetase			MPAO1_05730	1899	632	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1196442	1197089	-							MPAO1_05735	648		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1196442	1197089	-	QPZ80532.1			alpha/beta hydrolase			MPAO1_05735	648	215	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1197386	1198411	+							MPAO1_05740	1026		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1197386	1198411	+	QPZ80533.1			amino acid ABC transporter substrate-binding protein			MPAO1_05740	1026	341	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1198523	1199239	+							MPAO1_05745	717		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1198523	1199239	+	QPZ80534.1			phosphatidylcholine/phosphatidylserine synthase			MPAO1_05745	717	238	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1199310	1199792	+							MPAO1_05750	483		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1199310	1199792	+	QPZ80535.1			nuclear transport factor 2 family protein			MPAO1_05750	483	160	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1199859	1200560	+							MPAO1_05755	702		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1199859	1200560	+	QPZ80536.1			glutathione S-transferase family protein			MPAO1_05755	702	233	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1200553	1200867	+							MPAO1_05760	315		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1200553	1200867	+	QPZ80537.1			GIY-YIG nuclease family protein			MPAO1_05760	315	104	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1200896	1201585	+							MPAO1_05765	690		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1200896	1201585	+	QPZ80538.1			antibiotic acetyltransferase			MPAO1_05765	690	229	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1201706	1202641	+							MPAO1_05770	936		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1201706	1202641	+	QPZ80539.1			glutathione S-transferase family protein			MPAO1_05770	936	311	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1202645	1203397	+							MPAO1_05775	753		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1202645	1203397	+	QPZ80540.1			hypothetical protein			MPAO1_05775	753	250	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1203486	1204397	+							MPAO1_05780	912		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1203486	1204397	+	QPZ80541.1			hypothetical protein			MPAO1_05780	912	303	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1204440	1205444	-							MPAO1_05785	1005		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1204440	1205444	-	QPZ80542.1			nucleoid-associated protein			MPAO1_05785	1005	334	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1205537	1206892	-							MPAO1_05790	1356		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1205537	1206892	-	QPZ80543.1			C4-dicarboxylate ABC transporter substrate-binding protein			MPAO1_05790	1356	451	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1206966	1207436	-							MPAO1_05795	471		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1206966	1207436	-	QPZ80544.1			hypothetical protein			MPAO1_05795	471	156	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1207540	1208082	+							MPAO1_05800	543		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1207540	1208082	+	QPZ80545.1			hydrolase			MPAO1_05800	543	180	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1208072	1208968	-							MPAO1_05805	897		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1208072	1208968	-	QPZ80546.1			LysR family transcriptional regulator			MPAO1_05805	897	298	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1209092	1209703	+							MPAO1_05810	612		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1209092	1209703	+	QPZ80547.1			glutathione S-transferase			MPAO1_05810	612	203	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1209833	1210018	+							MPAO1_05815	186		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1209833	1210018	+	QPZ80548.1			DUF2165 family protein			MPAO1_05815	186	61	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210308	1210658	-							MPAO1_05820	351		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210308	1210658	-	QPZ80549.1			CesT family type III secretion system chaperone			MPAO1_05820	351	116	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210672	1210851	-							MPAO1_05825	180		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210672	1210851	-	QPZ80550.1			exoenzyme S			MPAO1_05825	180	59	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210846	1212207	+							MPAO1_05830	1362		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1210846	1212207	+	QPZ80551.1			exoenzyme S			MPAO1_05830	1362	453	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1212297	1213307	-							MPAO1_05835	1011		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1212297	1213307	-	QPZ80552.1			ribosomal RNA large subunit methyltransferase F			MPAO1_05835	1011	336	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1213399	1215231	-							MPAO1_05840	1833		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1213399	1215231	-	QPZ80553.1			SLC13 family permease			MPAO1_05840	1833	610	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1215350	1216144	-							MPAO1_05845	795		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1215350	1216144	-	QPZ80554.1			ABC transporter ATP-binding protein			MPAO1_05845	795	264	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1216147	1217037	-							MPAO1_05850	891		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1216147	1217037	-	QPZ80555.1			ABC transporter permease			MPAO1_05850	891	296	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1217121	1218098	-							MPAO1_05855	978		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1217121	1218098	-	QPZ80556.1			ABC transporter substrate-binding protein			MPAO1_05855	978	325	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1218350	1218610	+							MPAO1_05860	261		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1218350	1218610	+	QPZ80557.1			hypothetical protein			MPAO1_05860	261	86	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1220743	1221093	+							MPAO1_05865	351		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1220743	1221093	+	QPZ80558.1			hypothetical protein			MPAO1_05865	351	116	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1221140	1223992	-							MPAO1_05870	2853		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1221140	1223992	-	QPZ80559.1			valine--tRNA ligase			MPAO1_05870	2853	950	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224113	1224481	-							MPAO1_05875	369		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224113	1224481	-	QPZ80560.1			DNA polymerase III subunit chi			MPAO1_05875	369	122	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224493	1224921	-							MPAO1_05880	429		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224493	1224921	-	QPZ80561.1			DNA polymerase III subunit chi			MPAO1_05880	429	142	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224918	1226405	-							MPAO1_05885	1488		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1224918	1226405	-	QPZ80562.1			cytosol aminopeptidase			MPAO1_05885	1488	495	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1226742	1227554	+							MPAO1_05890	813		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1226742	1227554	+	QPZ80563.1			AraC family transcriptional regulator			MPAO1_05890	813	270	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1227638	1228561	+							MPAO1_05895	924		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1227638	1228561	+	QPZ80564.1			alpha/beta hydrolase			MPAO1_05895	924	307	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1228753	1229871	+					lptF		MPAO1_05900	1119		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1228753	1229871	+	QPZ80565.1			LPS export ABC transporter permease LptF	lptF		MPAO1_05900	1119	372	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1229864	1230931	+					lptG		MPAO1_05905	1068		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1229864	1230931	+	QPZ80566.1			LPS export ABC transporter permease LptG	lptG		MPAO1_05905	1068	355	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1231063	1231560	-							MPAO1_05910	498		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1231063	1231560	-	QPZ80567.1			RDD family protein			MPAO1_05910	498	165	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1231690	1233270	+							MPAO1_05915	1581		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1231690	1233270	+	QPZ80568.1			EAL domain-containing protein			MPAO1_05915	1581	526	
gene	tRNA	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1233596	1233682	-							MPAO1_05920	87		
tRNA		GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1233596	1233682	-				tRNA-Leu			MPAO1_05920	87		anticodon=CAA
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1233785	1234828	+					queA		MPAO1_05925	1044		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1233785	1234828	+	QPZ80569.1			tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	queA		MPAO1_05925	1044	347	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1234841	1235959	+							MPAO1_05930	1119		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1234841	1235959	+	QPZ85088.1			tRNA guanosine(34) transglycosylase Tgt			MPAO1_05930	1119	372	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1236003	1236341	+					yajC		MPAO1_05935	339		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1236003	1236341	+	QPZ80570.1			preprotein translocase subunit YajC	yajC		MPAO1_05935	339	112	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1236401	1238263	+					secD		MPAO1_05940	1863		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1236401	1238263	+	QPZ80571.1			protein translocase subunit SecD	secD		MPAO1_05940	1863	620	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1238274	1239194	+					secF		MPAO1_05945	921		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1238274	1239194	+	QPZ80572.1			protein translocase subunit SecF	secF		MPAO1_05945	921	306	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1239378	1239926	+							MPAO1_05950	549		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1239378	1239926	+	QPZ80573.1			glycine zipper 2TM domain-containing protein			MPAO1_05950	549	182	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1240031	1240846	-							MPAO1_05955	816		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1240031	1240846	-	QPZ80574.1			inositol monophosphatase			MPAO1_05955	816	271	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1240998	1241771	+					trmJ		MPAO1_05960	774		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1240998	1241771	+	QPZ80575.1			tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ	trmJ		MPAO1_05960	774	257	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1241771	1242547	+					cysE		MPAO1_05965	777		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1241771	1242547	+	QPZ80576.1			serine O-acetyltransferase	cysE		MPAO1_05965	777	258	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1242692	1243183	+					iscR		MPAO1_05970	492		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1242692	1243183	+	QPZ80577.1			Fe-S cluster assembly transcriptional regulator IscR	iscR		MPAO1_05970	492	163	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1243213	1244427	+					iscS		MPAO1_05975	1215		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1243213	1244427	+	QPZ80578.1			IscS subfamily cysteine desulfurase	iscS		MPAO1_05975	1215	404	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1244463	1244849	+					iscU		MPAO1_05980	387		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1244463	1244849	+	QPZ80579.1			Fe-S cluster assembly scaffold IscU	iscU		MPAO1_05980	387	128	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1244877	1245200	+					iscA		MPAO1_05985	324		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1244877	1245200	+	QPZ80580.1			iron-sulfur cluster assembly protein IscA	iscA		MPAO1_05985	324	107	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1245208	1245729	+							MPAO1_05990	522		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1245208	1245729	+	QPZ80581.1			co-chaperone protein HscB			MPAO1_05990	522	173	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1245772	1247631	+							MPAO1_05995	1860		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1245772	1247631	+	QPZ80582.1			molecular chaperone HscA			MPAO1_05995	1860	619	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1247638	1247976	+					fdx		MPAO1_06000	339		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1247638	1247976	+	QPZ80583.1			ISC system 2Fe-2S type ferredoxin	fdx		MPAO1_06000	339	112	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248003	1248203	+					iscX		MPAO1_06005	201		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248003	1248203	+	QPZ80584.1			Fe-S assembly protein IscX	iscX		MPAO1_06005	201	66	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248447	1248878	+							MPAO1_06010	432		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248447	1248878	+	QPZ80585.1			nucleoside-diphosphate kinase			MPAO1_06010	432	143	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248903	1250042	+					rlmN		MPAO1_06015	1140		
CDS	with_protein	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1248903	1250042	+	QPZ80586.1			23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN	rlmN		MPAO1_06015	1140	379	
gene	protein_coding	GCA_016107485.1	Primary Assembly	chromosome		CP027857.1	1250060	1250818	+					pilW		MPAO1_06020	759		
